id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;DisponÌvel;Data;Status
13920;Filo di Luce;SuÈter Filo Di Luce;65.00;65.00;SuÈter de tricot com padronagem.;P;Vintage;;VENDIDO;18:08.0;VERIFICADO
13922;Sem Marca;SuÈter Chestnut;64.00;64.00;SuÈter de tricot com padronagem.;M;Vintage;;VENDIDO;15:20.1;VERIFICADO
14239;Sem Marca;Saia de Laise;40.00;40.00;Saia de laise com zÌper lateral embutido.;P;Vintage;;VENDIDO;17:46.0;VERIFICADO
13925;Vhayse;Cardigan P&B;70.00;70.00;Cardigan com padronagem e duas fileiras de botıes na frente.;M;Vintage;;VENDIDO;27:25.1;VERIFICADO
13933;Guerra;Cardigan Venetian Red;70.00;70.00;Cardigan de tricot com textura.;G;Vintage;;VENDIDO;51:38.2;VERIFICADO
15293;Katarina;Camisa Estampada Vintage;69.00;69.00;Camisa de manga curta estampada. N„o possui bolsos. Fechamento por botıes.;M;Vintage;;VENDIDO;38:24.0;VERIFICADO
13936;Sem Marca;Colete Marinho;30.00;30.00;Colete fechado de tricot com padronagem na frente.;P;Vintage;;VENDIDO;02:47.3;VERIFICADO
13938;Marianos Santini;SuÈter Marianos;55.00;55.00;SuÈter com padronagem floral. Possui tecido mais grosso e fechado.;G;Vintage;;VENDIDO;09:26.8;VERIFICADO
13939;Cori;SuÈter Cori;70.00;70.00;SuÈter com padronagem.;U;Vintage;;VENDIDO;51:12.2;VERIFICADO
13941;Jack Tar;Short Alto Jack Tar;50.00;50.00;Short jeans de cintura alta com barra cortada e dobrada. Possui bolso e detalhes em cor diferente, com bordado no bolso traseiro.;34;Vintage;;VENDIDO;10:50.9;VERIFICADO
13942;Rick's Jeans;Short Alto Rick‚Äôs;20.00;50.00;Short jeans de cintura alta esverdeado com detalhes desfiados.;36;Vintage;;VENDIDO;48:28.7;VERIFICADO
13944;Sem Marca;Short Tie-dye Marinho;50.00;50.00;Short de cintura alta com tie-dye bem discreto.;36;Vintage;;VENDIDO;41:41.7;VERIFICADO
13945;Makenji;Conjunto Navy;85.00;85.00;Conjunto navy em tecido texturizado com short de cintura alta. Short tamanho 36 e blusa com detalhes em branco e botıes na frente.;P;Vintage;;VENDIDO;18:53.0;VERIFICADO
13947;Felipe Ferreira;Colete Jeans FF;40.00;40.00;Colete jeans com botıes e bolsos na frente.;G;Vintage;;VENDIDO;02:40.1;VERIFICADO
